EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,NUM_SECC_RUR,log(LNE),log(Densidad_LNE),Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,CP8,TCE_municipal,Atipicidad
10,DURANGO,16,NOMBRE DE DIOS,16,9.584521190044581,2.985984654831536,0.9866068364865472,-0.00013755158184319122,0.013343456417440015,0.014610806032009675,0.33643673111214145,-2.4062814793124687,-0.7554072750383236,1.5785142427081231,1.4113355842352853,-0.5995814430163255,-0.5546026640863218,-0.6374413752997246,0.028153974334494437,G2,Tipica
10,DURANGO,4,CUENCAME,27,10.133408088129361,3.237134567946386,0.9878298329843658,-0.010107366185550793,0.01893423916541501,0.022540961950413604,0.4962272033842777,-1.6109375606419134,0.17411816975687872,1.8082010166690008,1.8924025204697836,-1.050024992853554,-0.08855539207716866,0.18407788351708868,-0.09181799627064326,G2,Tipica
10,DURANGO,1,CANATLAN,29,10.080293928641973,2.9454991064955305,0.9869216290798254,-0.016401549493117944,0.020354452759607056,0.023842079582078967,0.4655610152412135,-1.5244223553065332,0.04503181387557618,2.0533030531055214,2.1643747578800934,-1.126765619750043,-0.05489663529107061,0.2889552369366937,-0.07912576781946756,G2,Tipica
10,DURANGO,24,PUEBLO NUEVO,33,10.371583112575056,2.171945889293789,0.9815719778747396,-0.014502144466043384,0.027702854978996667,0.03338791214624083,0.5070150422757806,-0.1509183138303981,-0.10748478478249852,2.6636631378068243,2.8651313253835724,-1.055197220396609,-0.1963120790422252,0.7218104228613289,-0.18060927734656987,G3,Tipica
10,DURANGO,14,MEZQUITAL,30,10.29667762976868,1.5038456861353562,0.9771088423845956,0.017825862957238536,0.012892507561274141,0.014907714871742663,0.4460312973350016,-1.5725300790578958,-0.249529973382898,3.157406364994769,1.9014916183356083,0.7789457961896453,-0.540169342589174,-0.6010805724838546,-0.02726684406302464,G3,Tipica
10,DURANGO,6,SIMON BOLIVAR,15,8.925587339030281,6.507713927600779,0.9878797844881096,-0.033534626750610315,0.026960292157640276,0.032127886963533754,0.6828292764685521,-0.5803710847653781,-0.5316984138804871,-0.13625693233502878,1.8023743282721791,-1.27657080924727,0.540971259400306,1.5482281110046618,-0.13865567045825414,G2,Tipica
10,DURANGO,26,SAN BERNARDO,11,7.878155336503324,0.6747432458398747,0.9911964959060456,-0.03931561703676738,0.024944025997494856,0.029111325354912683,0.7389334640021353,-0.9549200215078594,-1.1656442878328324,2.126880580854013,0.20421594198388265,-2.3440986009607165,-0.4145776506110002,1.637950899785238,-0.07145884255560178,G2,Tipica
10,DURANGO,37,TLAHUALILO,15,9.6004210780406,2.1959238594384107,0.9906364757920896,-0.008657718120805371,0.014942260908112612,0.017391844927313497,0.4222423751559701,-2.3322577775462148,-0.5037205566151842,1.6851534139962911,1.01360309279531,-1.3595291525457245,-0.6991576197491017,-0.2326968419928066,-0.034746136923040516,G2,Tipica
10,DURANGO,31,SAN PEDRO DEL GALLO,7,7.275172319452771,0.9990941128608383,0.9920243926690908,-0.018354860639021076,0.02093657680699744,0.02512194587138861,0.5490036512745515,-1.4657849917357604,-1.6877405630486244,1.8498791731478204,0.045582518018494216,-2.2805562062727347,-0.318490986562609,0.5558611033788576,-0.12009849737482448,G2,Tipica
10,DURANGO,17,NUEVO IDEAL,19,9.928814110482136,7.863544840826036,0.9867707082937046,-0.02638948217760691,0.025403287915006404,0.0301293806074954,0.570415649175124,-0.8406536710318533,-0.09132707721508836,-0.5318307367396775,2.5739798313384146,-0.8388981483882125,0.56609496705207,1.0470124241340941,-0.12317819774046004,G2,Tipica
